Sat Sep 19 16:12:18 2020    output.dat

         6275 function calls (6124 primitive calls) in 334.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.018    0.018 C:\Python38-32\lib\socket.py:901(getaddrinfo)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\site-packages\click\_winconsole.py:351(_get_windows_console_stream)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:76(__init__)
       10    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1058(flush)
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:492(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:595(isstring)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1272(getLogger)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:222(isatty)
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1502(findCaller)
        6    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:285(is_bytes)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\signal.py:35(_enum_to_int)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:300(getregentry)
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       27    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        3    0.000    0.000    0.010    0.003 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:40(write)
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\_internal.py:75(_has_level_handler)
        4    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\utils.py:76(__init__)
        7    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\socket.py:527(set_inheritable)
        3    0.000    0.000    0.010    0.003 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:160(write)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:907(__exit__)
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\logging\__init__.py:1633(callHandlers)
